191069	г.~Санкт-Петербург, Россия	ул.~Садовая, д.~18	ФГБУ <<Российская национальная библиотека>>	
123298	г.~Москва, Россия	ул.~3-я Хорошевская, д.~17	ФГБУ <<Государственная публичная научно-техническая библиотека России>>	
125190	г.~Москва, Россия	ул.~Усиевича, д.~20	ФГБУН <<Всероссийский институт научной и технической информации Российской академии наук>>	
220114	г.~Минск, Беларусь	просп.~Независимости, д.~116	ГУ <<Национальная библиотека Беларуси>>	
630102	г.~Новосибирск, Россия	ул.~Восход, д.~15	ФГБУН <<Государственная публичная научно-техническая библиотека Сибирского отделения Российской академии наук>>	
654007	г.~Новокузнецк, Россия	ул.~Кирова, д.~42	ФГБОУ ВО <<Сибирский государственный индустриальный университет>>	члену дисс. совета 24.2.347.03, д-ру~техн.~наук, доценту \\ Поповой Марине Владимировне
634021	г.~Томск, Россия	просп.~Академический, д.~2/4	ФГБУН <<Институт физики прочности и материаловедения СО РАН>>	члену дисс. совета 24.2.347.03, д-ру~техн.~наук \\ Тарасову Сергею Юльевичу
630099	г.~Новосибирск, Россия	ул.~Щетинкина, д.~33	ФГБОУ ВО <<Сибирский государственный университет водного транспорта>>	члену дисс. совета 24.2.347.03, д-ру~техн.~наук, доценту \\ Токареву Александру Олеговичу
125993	г.~Москва, Россия	A-80, ГСП-3, Волоколамское шоссе, д.~4	ФГБОУ ВО <<Московский авиационный институт (национальный исследовательский университет)>>	уч. секр. дисс. совета 24.2.327.09 \\ Стрельцу Дмитрию Юрьевичу
140180	г.~Жуковский, Россия	ул.~Жуковского, д.~1	ФАУ <<Центральный аэрогидродинамический институт им.~профессора Н.Е.~Жуковского>>	уч. секр. дисс. совета 31.1.006.01 \\ Брутяну Мураду Абрамовичу
105005	г.~Москва, Россия	ул.~2-я Бауманская, д.~5, стр.~1	ФГБОУ ВО <<Московский государственный технический университет им.~Н.Э.~Баумана (национальный исследовательский университет)>>	уч. секр. дисс. совета 24.2.331.08 \\ Луценко Александру Юрьевичу
420111	г.~Казань, Россия	ул.~К. Маркса, д.~10	ФГБОУ ВО <<Казанский национальный исследовательский технический университет им.~А.Н.~Туполева -- КАИ>>	уч. секр. дисс. совета 24.2.311.03 \\ Халиулину Валентину Илдаровичу
664074	г.~Иркутск, Россия	ул.~Лермонтова, д.~83	ФГБОУ ВО <<Иркутский национальный исследовательский технический университет>>	зав. каф. самолётостроения и ЭАТ, канд.~техн.~наук, доценту \\ Бобарику Игорю Олеговичу
196210	г.~Cанкт-Петербург, Россия	ул.~Пилотов, д.~38	ФГБОУ ВО <<Санкт-Петербургский государственный университет гражданской авиации>>	зав. каф. авиационной техники и диагностики, канд.~техн.~наук, доценту \\ Петровой Татьяне Владимировне
614990	г.~Пермь, Россия	Комсомольский пр-кт, д.~29	ФГАОУ ВО <<Пермский национальный исследовательский политехнический университет>>	зав. каф. динамики и прочности машин, академику РАН, д-ру~техн.~наук, профессору \\ Матвеенко Валерию Павловичу
190000	г.~Санкт-Петербург, Россия	ул.~Большая Морская, д.~67	ФГАОУ ВО <<Санкт-Петербургский государственный университет аэрокосмического приборостроения>>	зав. каф. аэрокосмических компьютерных и программных систем, канд.~техн.~наук, доценту \\ Оленеву Валентину Леонидовичу
420111	г.~Казань, Россия	ул.~Карла Маркса, д.~10	ФГБОУ ВО <<Казанский национальный исследовательский технический университет им.~А.Н.~Туполева -- КАИ>>	д-ру ф.-м. наук, профессору \\ Паймушину Виталию Николаевичу
644050	г.~Омск, Россия	пр-т Мира, д.~11	ФГБОУ ВО <<Омский государственный технический университет>>	зав. каф. авиа- и ракетостроения, канд.~техн.~наук, доценту \\ Яковлеву Алексею Борисовичу
603950	г.~Н.~Новгород, Россия	ул.~Минина, д.~24	ФГБОУ ВО <<Нижегородский государственный технический университет им.~Р.Е.~Алексеева>>	зам. зав. каф. аэро-гидродинамики, прочности машин и сопротивления материалов, д-ру~техн.~наук, доценту \\ Миронову Анатолию Алексеевичу
190005	г.~Санкт-Петербург, Россия	ул. 1-я Красноармейская, д.~1	ФГБОУ ВО <<БГТУ <<ВОЕНМЕХ>> им.~Д.Ф.~Устинова>>	зав. каф. механики деформируемого твердого тела, д-ру~техн.~наук, профессору \\ Санникову Владимиру Антоновичу
125438	г.~Москва, Россия	ул.~Михалковская, д.~67, к.~1	ФГУП <<Государственный научно-исследовательский институт гражданской авиации>>	директору сертификационного центра, канд.~техн.~наук \\ Страдомскому Олегу Юрьевичу
111250	г.~Москва, Россия	ул.~Красноказарменная, д.~13	ФГБОУ ВО <<Национальный исследовательский университет <<МЭИ>>	зав. кафедрой робототехники, мехатроники, динамики и прочности машин д-р техн. наук, профессору \\ Меркурьеву Игорю Владимировичу
141700	г.~Долгопрудный, Россия	Институтский переулок, д. 9	ФГАОУ ВО <<Московский физико-технический институт (национальный исследовательский университет)>>	зав. каф. прикладной механики, канд.~техн. наук \\ Сергею Серафимовичу Негодяеву
115409	г. Москва, Россия	Каширское ш., 31	ФГАОУ ВО <<Национальный исследовательский ядерный университет <<МИФИ>>	зав. каф. физики прочности, д-ру техн. наук, член.-корр. РАН \\ Алымову Михаилу Ивановичу
630049	г.~Новосибирск, Россия	ул. Дуси Ковальчук, д. 191	ФГБОУ ВО <<Сибирский государственный университет путей сообщения>>	профессору, д-ру техн. наук \\ Бехеру Сергею Алексеевичу
119992	г. Москва, Россия	ГСП-2, Ленинские горы, д. 1	ФГБОУ ВО "Московский государственный университет им.~М. В. Ломоносова"	зав. каф. прикладной механики и управления, д-ру~физ.-мат.~наук, профессору \\ Александрову Владимиру Васильевичу
107023	г. Москва, Россия	ул.~Б. Семёновская, д. 38	ФГБОУ ВО <<Московский политехнический университет>>	зав. каф. динамики, прочности машин и сопротивления материалов, д-ру~физ.-мат.~наук, профессору \\ Скворцову Аркадию Алексеевичу
125993	г.~Москва, Россия	Кронштадтский бульвар, д.~20	ФГБОУ ВО <<Московский государственный технический университет гражданской авиации>>	зав. каф. аэродинамики, конструкции и прочности летательных аппаратов, д-ру техн. наук, профессору \\ Киселеву Михаилу Анатольевичу
634050	г.~Томск, Россия	проспект Ленина, д. 36	ФГАОУ ВО <<Национальный исследовательский Томский государственный университет>>	зав. каф. теоретической механики, д-ру~физ.-мат.~наук, профессору \\ Шеремету Михаилу Александровичу
344090	г.~Ростов-на-Дону, Россия	ул. Мильчакова, д.~8-А	ФГАОУ ВО <<Южный федеральный университет>>	зав. каф. теоретической и компьютерной гидроаэродинамики, д-ру~физ.-мат.~наук, доценту \\ Цибулину Вячеславу Георгиевичу
125047	г.~Москва, Россия	Миусская пл., д.4	ФГУ <<Федеральный исследовательский центр Институт прикладной математики им. М.В. Келдыша РАН>>	главному научному сотруднику, д-ру~физ.-мат.~наук, профессору \\ Овчинникову Михаилу Юрьевичу
119991	г.~Москва, Россия	В-334, ГСП-1, Ленинский просп., д.~32а	ФГБОУ ВО <<Московский авиационный институт (национальный исследовательский университет)>> <<Институт прикладной механики РАН>>	д-ру техн. наук, профессору \\ Шклярчуку Фёдору Николаевичу
662972	г.~Железногорск, Россия	ул. Ленина, д.~52	АО <<ИСС>> им.~академика М.Ф. Решетнёва>>	Директору отраслевого центра крупногабаритных трансформируемых механических систем — заместителю генерального конструктора по механическим системам, к.~физ.-мат.~наук, профессору \\ Халимановичу Владимиру Ивановичу
634050	г. Томск, Россия	пр. Ленина, д. 36, стр. 27	<<НИИ ПММ ТГУ>>	д-ру~физ.-мат.~наук, профессору \\ Пономареву Сергею Васильевичу
125284	г.~Москва, Россия	ул. Поликарпова, д. 23А	ПАО <<Объединенная авиастроительная корпорация>> ОКБ им.~П.О.~Сухого	главному конструктору по прочности \\ Шкоде Александру Васильевичу
125171	г.~Москва, Россия	Ленинградское шоссе, д. 6, стр. 1	ПАО <<Объединенная авиастроительная корпорация>> ОКБ им.~А.И.~Микояна	заместителю главного конструктора по прочности \\ Померанцеву Юрию Ивановичу
634055	г. Томск, Россия	просп. Академический, д.~2/4	ФГБУН <<ИФПМ СО РАН>>	директору, д-ру техн. наук, профессору РАН \\ Колубаеву Евгению Александровичу
105005	г.~Москва, Россия	набережная Академика Туполева, д. 17	ПАО <<Туполев>>	заместителю начальника ПКЦ <<Прочность>> \\ Фролову Антон Сергеевичу
443009	г. Самара, Россия	ул.~Земеца, д. 18	АО <<Ракетно-космический центр <<Прогресс>>	первому заместителю генерального директора — главному инженеру \\ Лукину Евгению Борисовичу
123308	г.~Москва, Россия	проспект Маршала Жукова, д. 1, стр. 1	АО <<Уральский завод гражданской авиации>>	начальнику отдела аэроупругости, канд.~техн. наук \\ Нагорнову Андрею Юрьевичу
125315	г.~Москва, Россия	Ленинградский пр-кт, д. 68	АО <<Опытно-конструкторское бюро им. А.С.~Яковлева>>	заместителю главного конструктора, канд.~техн.~наук \\ Чубаню Виталию Дмитриевичу
420085	г. Казань, Россия	ул. Тэцевская, д.~14	АО <<Казанский вертолетный завод>>	ведущему инженеру-конструктору отдела расчетов, канд.~техн. наук \\ Шакирову Марату Зуфаровичу
140180	г.~Жуковский, Россия	ул. Наркомвод, д.~7	Филиал ПАО <<Ил>> -- ЭМЗ им.~В.М.~Мясищева	заместителю начальника комплекса конструкции, прочности и технологичности -- заместителю главного конструктора \\ Каракешишеву Владимиру Александровичу
125315	г.~Москва, Россия	Ленинградский проспект, д.~68	ПАО <<Корпорация <<Иркут>>	начальнику отделения прочности -- заместителю главного конструктора по прочности \\ Яшутину Андрею Григорьевичу
125459	г.~Москва, Россия	Лодочная, 5к1	АО <<НПО <<Молния>>	начальнику проектно-теоретического отделения, д-ру~техн.~наук \\ Тимошенко Валерию Павловичу
347923	г.~Таганрог, Россия	пл. Авиаторов, д.~1	ПАО <<ТАНТК им.~Г.М. Бериева>>	главному специалисту отделения перспективных проектов, канд.~техн.~наук \\ Бондарецу Анатолию Яковлевичу
143966	г. Реутов, Россия	ул. Гагарина, д. 33	АО <<ВПК <<НПО машиностроения>>	главному научному сотруднику отд. тепловибропрочности, канд.~техн.~наук \\ Ватрухину Юрию Михайловичу
125190	г.~Москва, Россия	Ленинградский пр-т, д. 45 <<Г>>	ПАО <<Ил>>	начальнику отдела общей прочности, канд.~техн.~наук \\ Говоруну Максиму Валерьевичу
141070	г.~Королёв, Россия	ул. Ленина, д. 4А	ПАО <<РКК <<Энергия>>	заместителю руководителя НТЦ, канд.~техн.~наук \\ Обухову Владимиру Васильевичу
140070	р.п.~Томилино, г.о.~Люберцы, Московская область, Россия	ул.~Гаршина, д.~26/1	АО <<НЦВ Миль и Камов>>	техническому руководителю КБ внешних нагрузок, аэроупругости и земного резонанса, канд.~техн.~наук \\ Кручинину Михаилу Михайловичу
664020	г.~Иркутск, Россия	ул. Новаторов, д. 3, к. 10	Филиал ПАО <<Корпорация <<Иркут>> <<Иркутский авиационный завод>>	главному конструктору \\ Титенко Павлу Николаевичу
630051	г. Новосибирск, Россия	ул.~Ползунова, д. 15	Филиал ПАО <<ОАК>> <<НАЗ имени В.П.~Чкалова>>	директору \\ Сергею Николаевичу Панасенко
